P,LS1,LS2,LS3,LS4,LS5,PhoneWO,SleepEn,SocialMedia
1,6,6,6,5,6,4,4,2
2,2,1,2,2,2,2,1,3
3,7,7,7,7,7,5,4,1
4,7,5,7,6,7,5,5,2
5,6,6,6,6,6,4,4,2
6,5,4,6,4,2,5,2,4
7,3,4,2,2,2,3,2,2
8,5,5,5,5,3,2,2,2
9,5,6,5,6,6,2,4,1
10,7,7,7,7,6,4,2,1
11,4,3,3,5,3,2,3,1
12,5,6,6,6,5,4,3,2
13,4,3,5,5,6,4,3,4
14,1,2,2,1,2,5,1,5
15,4,3,5,4,4,1,3,2
16,3,7,6,6,2,2,4,1
17,3,3,3,4,4,4,3,2
19,6,5,6,7,2,3,2,1
20,2,2,2,3,6,2,3,1
21,3,2,4,2,3,3,2,2
22,4,4,4,4,4,3,3,3
23,1,1,1,1,1,2,1,2
24,1,4,4,4,3,4,3,3
25,3,4,4,6,1,5,2,5
26,4,3,4,4,1,3,1,3
27,3,3,3,5,5,2,1,2
28,5,5,4,5,5,4,2,2
29,1,1,1,1,1,4,1,4
30,7,6,4,4,1,4,2,2
31,2,2,2,2,1,3,2,3
32,5,6,5,6,7,2,1,2
33,4,2,1,1,2,5,1,5
34,2,2,3,6,5,1,2,2
35,4,2,7,7,7,4,2,4
36,5,7,6,6,6,5,3,2
37,4,6,6,6,3,4,2,2
38,5,5,5,5,4,4,3,2
39,7,7,7,7,7,4,2,1
40,5,4,5,5,3,4,1,4
41,5,3,4,5,5,4,4,2
42,3,5,4,4,1,2,4,1
43,2,6,5,6,7,2,3,5
44,2,2,4,5,1,4,2,2
45,5,5,2,6,1,3,3,3
46,5,5,6,5,6,2,1,2
47,4,5,4,5,6,4,2,1
48,6,5,6,6,4,3,4,2
49,5,3,4,5,2,1,4,2
50,6,6,6,6,4,3,4,1
51,2,4,3,4,3,3,2,1
52,1,1,1,1,1,2,1,1
53,2,3,4,6,2,2,2,2
54,3,4,3,5,2,1,2,1
55,6,5,6,7,6,5,3,2
56,1,1,1,1,6,4,1,2
57,2,3,2,5,1,1,1,3
58,4,4,5,6,3,3,3,3
59,6,6,5,4,3,3,4,3
60,6,5,6,6,2,4,4,2
61,4,4,3,6,1,2,2,2
62,2,3,3,3,3,3,3,3
63,5,4,5,2,3,4,4,3
