P,Gender,LS1,LS2,LS3,LS4,LS5,PhoneWO,SleepEn,SocialMedia
1,2,6,6,6,5,6,4,4,2
2,2,2,1,2,2,2,2,1,3
3,1,7,7,7,7,7,5,4,1
4,1,7,5,7,6,7,5,,2
5,2,6,6,6,6,6,4,4,2
6,1,5,4,6,4,2,5,2,4
7,1,3,4,2,2,2,3,2,2
8,1,5,5,5,5,3,2,2,2
9,1,5,6,5,6,6,2,4,1
10,2,7,7,7,7,6,4,2,1
11,1,4,3,3,5,3,2,3,1
12,2,5,6,6,6,5,4,3,2
13,2,4,3,5,5,6,4,3,4
14,1,1,,2,1,2,5,1,5
15,1,4,3,5,4,4,1,3,2
16,1,3,7,6,6,2,2,4,1
17,1,3,3,3,4,4,4,3,2
19,1,6,5,6,7,2,3,2,1
20,1,2,2,2,3,6,2,3,1
21,2,3,2,4,2,3,3,2,2
22,2,4,4,4,4,4,3,3,3
23,3,1,1,1,,1,2,1,2
24,1,1,4,4,4,3,4,3,3
25,2,3,4,4,6,1,5,2,5
26,1,4,3,4,4,1,3,1,3
27,3,3,3,3,5,5,2,1,2
28,1,5,5,4,5,5,4,2,2
29,3,1,1,1,1,1,,1,4
30,1,7,6,4,4,1,4,2,2
31,4,2,2,2,2,1,3,2,3
32,1,5,6,5,6,7,2,1,2
33,1,4,2,1,1,2,5,1,5
34,1,2,2,3,6,5,1,2,2
35,1,4,2,7,7,7,4,2,4
36,2,5,7,6,6,6,5,3,2
37,1,4,6,6,6,3,4,2,2
38,1,5,5,5,5,4,4,3,2
39,1,7,7,7,7,7,4,2,1
40,1,5,4,5,5,3,4,1,4
41,1,5,3,4,5,5,4,4,2
42,2,3,5,4,4,1,2,4,1
43,2,2,6,5,6,7,2,3,5
44,1,2,2,4,5,1,4,2,2
45,2,5,5,2,,1,3,3,3
46,1,5,5,6,5,6,2,1,2
47,1,4,5,4,5,6,4,2,1
48,1,6,5,6,6,4,3,4,2
49,1,5,3,4,5,2,1,4,
50,1,6,6,6,6,4,3,4,1
51,1,2,4,3,4,3,3,2,1
52,2,1,1,1,1,1,2,1,1
53,1,2,3,4,6,2,2,2,2
54,1,,4,3,5,2,1,2,1
55,1,6,5,6,7,6,5,3,2
56,1,1,1,1,1,6,4,1,2
57,3,2,3,2,5,1,1,1,3
58,1,4,4,5,6,3,3,3,3
59,2,6,6,5,4,3,3,4,3
60,2,6,5,6,6,2,4,4,2
61,2,4,4,3,6,1,2,2,2
62,1,2,3,3,3,3,3,3,3
63,2,5,4,5,2,3,4,4,3
