P,Gender,Live,Political,WorryClim,StressClim,VoluntHr,Meat,Alcohol,CRT,Empathy,Profound,Extrovert,Anxious,ClimHarm,CauseClim,SciClim,KnowClim,ConcernDV,DonateDV,SaliencyIV,InfoIV,calcCRT
1,Male,Suburb near a large city,No party,4,2,8,3,3,1,3,2,7,2,5,1,1,4,4,10,High,Number,Low
2,Female,Suburb near a large city,Democrat,4,5,24,2,3,0,3,3,6,3,5,1,1,4,5,15,High,Number,Low
3,Female,Small city or town,No party,3,3,0,1,2,0,5,2,1,6,3,1,3,2,4,15,High,Number,Low
4,Female,Small city or town,Republican,3,4,4,2,3,0,3,4,6,5,4,1,1,2,4,5,High,Number,Low
5,Female,Suburb near a large city,Independent,3,3,5,2,3,0,3,4,4,6,3,1,1,3,3,5,High,Number,Low
6,Female,Suburb near a large city,No party,3,4,18,1,3,2,2,3,6,5,5,1,1,3,4,0,High,Number,High
7,Male,Suburb near a large city,No party,3,4,10,1,2,0,2,2,6,6,3,1,1,3,4,5,High,Number,Low
8,Female,Small city or town,No party,4,4,,2,2,0,3,3,6,5,5,1,1,3,5,5,High,Number,Low
9,Male,Small city or town,Republican,2,2,50,2,3,0,2,2,1,2,2,1,3,2,3,5,High,Number,Low
10,Female,Suburb near a large city,No party,2,3,20,1,2,1,2,4,3,5,5,1,1,2,4,10,High,Number,Low
11,Female,Large city,Democrat,5,5,50,4,3,0,1,2,6,5,5,1,1,4,5,25,High,Number,Low
12,Female,Large city,Democrat,3,2,3,3,3,0,2,4,3,7,5,1,1,2,3,5,High,Number,Low
13,Male,Rural area,Democrat,2,1,8,1,3,2,3,3,6,2,4,1,1,1,4,0,High,Number,High
14,Female,Rural area,No party,2,3,15,2,4,0,3,3,5,6,3,1,3,1,4,0,High,Number,Low
15,Male,Rural area,Democrat,3,4,4,2,3,0,4,3,4,4,4,2,1,4,3,5,High,Number,Low
16,Female,Small city or town,Democrat,4,4,40,3,2,2,2,4,7,7,5,1,1,4,5,0,High,Number,High
17,Male,Small city or town,Democrat,2,3,,1,1,0,4,1,2,6,5,1,1,3,3,10,High,Number,Low
18,Female,Small city or town,No party,2,3,30,1,2,1,3,4,7,5,4,2,1,2,5,15,High,Number,Low
19,Female,Small city or town,Democrat,4,5,50,4,4,3,2,5,6,3,5,1,1,3,5,20,High,Number,High
20,Male,Suburb near a large city,Democrat,3,1,15,2,4,3,2,1,3,1,5,1,1,2,4,5,High,Number,High
21,Female,Suburb near a large city,Democrat,4,5,20,2,3,1,1,3,6,6,5,1,1,3,5,20,High,Number,Low
22,Male,Large city,Democrat,4,2,12,1,2,0,3,2,5,3,5,1,1,4,5,10,High,Number,Low
23,Female,Suburb near a large city,Democrat,3,4,15,2,2,0,1,3,1,6,4,1,1,3,4,10,High,Number,Low
24,Male,Large city,Republican,1,1,25,1,2,1,3,3,6,2,3,1,3,2,4,15,High,Number,Low
25,Male,Suburb near a large city,Republican,3,4,20,1,3,3,3,4,7,2,4,1,1,3,4,10,High,Number,High
26,Female,Suburb near a large city,Independent,2,2,0,1,3,0,3,2,6,6,4,2,1,1,3,5,High,Number,Low
27,Male,Suburb near a large city,Independent,4,4,65,3,4,1,3,2,6,5,5,1,1,3,5,10,High,Number,Low
28,Female,Suburb near a large city,Democrat,4,5,260,2,2,3,2,2,5,6,5,1,1,3,5,25,High,Number,High
29,Male,Suburb near a large city,Republican,1,1,8,1,2,2,4,3,4,2,2,2,3,2,2,0,High,Text,High
30,Female,Suburb near a large city,Republican,4,4,100,1,1,2,5,1,5,1,5,2,1,3,4,5,High,Text,High
31,Female,Small city or town,Other party,4,5,40,2,2,1,2,2,7,5,5,1,1,2,5,25,High,Text,Low
32,Female,Small city or town,Democrat,4,4,0,1,2,3,1,3,1,7,5,1,1,2,5,10,High,Text,High
33,Female,Small city or town,Democrat,5,5,60,4,2,1,3,3,5,5,5,1,1,3,5,25,High,Text,Low
34,Male,Rural area,Democrat,3,3,50,3,3,3,1,3,4,4,5,1,1,3,2,0,High,Text,High
35,Female,Suburb near a large city,Democrat,4,5,20,1,3,3,2,3,6,4,5,1,1,2,4,10,High,Text,High
36,Female,Small city or town,Democrat,2,1,10,2,4,0,3,3,7,5,3,2,1,3,3,0,High,Text,Low
37,Male,Suburb near a large city,Democrat,4,4,0,3,1,2,2,3,2,6,5,1,1,3,5,25,High,Text,High
38,Female,Small city or town,No party,4,3,150,3,4,0,3,3,3,7,5,1,1,3,4,25,High,Text,Low
39,Female,Small city or town,Independent,2,2,100,1,2,0,4,2,7,7,4,2,1,3,3,0,High,Text,Low
40,Female,Rural area,No party,3,1,0,1,3,0,3,4,5,3,4,1,1,3,4,5,High,Text,Low
41,Male,Large city,Democrat,5,4,10,2,2,3,2,3,3,2,5,1,1,4,5,5,High,Text,High
42,Female,Suburb near a large city,No party,4,1,0,4,3,1,2,2,2,3,5,1,1,4,5,10,High,Text,Low
43,Male,Small city or town,Republican,1,1,50,2,2,0,3,3,2,1,1,2,2,1,3,0,High,Text,Low
44,Female,Suburb near a large city,Independent,4,5,10,2,2,0,1,4,1,7,5,1,1,2,5,25,High,Text,Low
45,Female,Suburb near a large city,Democrat,3,3,12,3,2,0,3,2,4,4,5,1,1,2,4,5,High,Text,Low
46,Male,Large city,Democrat,4,5,5,2,1,0,3,2,6,4,5,1,1,4,5,0,High,Text,Low
47,Male,Small city or town,No party,1,1,20,2,2,0,2,2,5,4,2,2,1,1,4,0,High,Text,Low
48,Female,Suburb near a large city,Independent,3,3,0,2,4,0,2,5,3,6,5,1,1,3,4,15,High,Text,Low
49,Female,Suburb near a large city,Independent,2,3,6,3,2,0,2,2,6,5,4,1,1,3,4,10,High,Text,Low
50,Female,Small city or town,Democrat,3,4,90,4,3,1,3,2,4,5,5,1,1,2,5,0,High,Text,Low
51,Female,Suburb near a large city,Democrat,2,2,10,2,4,1,3,4,6,7,4,1,1,2,4,5,High,Text,Low
52,Female,Suburb near a large city,Democrat,3,4,25,2,3,1,1,2,7,5,5,1,1,3,5,5,High,Text,Low
53,Female,Small city or town,No party,2,2,0,2,2,2,2,3,5,3,4,1,1,3,4,15,High,Text,High
54,Male,Small city or town,Democrat,3,2,75,3,2,3,3,2,5,5,4,1,1,4,5,25,High,Text,High
55,Female,Suburb near a large city,Republican,1,2,5,1,3,0,3,2,7,3,3,2,1,1,4,5,High,Text,Low
56,Female,Suburb near a large city,Democrat,4,4,30,1,2,2,2,2,6,3,4,1,1,2,4,0,High,Text,High
57,Female,Suburb near a large city,Democrat,4,4,5,2,2,3,3,4,1,7,5,1,1,3,4,5,High,Text,High
58,Male,Large city,Democrat,3,4,0,1,2,2,3,4,6,2,5,1,1,4,3,15,High,Text,High
59,Female,Suburb near a large city,No party,5,3,0,1,2,3,2,3,2,3,5,1,1,3,5,15,High,Text,High
60,Female,Small city or town,Democrat,3,3,0,4,2,0,2,3,,,,,,,,0,High,Text,Low
61,Male,Small city or town,Republican,2,2,0,3,4,0,3,2,2,1,3,2,1,3,3,0,High,Text,Low
62,Female,Suburb near a large city,Libertarian,2,4,50,1,4,1,4,3,7,5,5,1,3,1,2,0,Low,Number,Low
63,Female,Small city or town,No party,3,3,8,3,3,2,3,4,6,2,5,1,1,2,3,0,Low,Number,High
64,Male,Suburb near a large city,Republican,4,2,20,1,2,0,3,2,5,4,4,1,3,3,3,0,Low,Number,Low
65,Female,Large city,Independent,4,4,40,2,3,0,2,3,5,4,3,2,2,3,3,15,Low,Number,Low
66,Female,Small city or town,Other party,3,5,40,2,2,0,2,2,7,6,5,1,1,3,5,25,Low,Number,Low
67,Male,Rural area,Independent,3,2,72,2,4,1,2,3,6,2,5,1,1,3,4,10,Low,Number,Low
68,Female,Small city or town,No party,3,3,4,4,4,0,1,3,7,2,5,1,1,2,4,5,Low,Number,Low
69,Male,Suburb near a large city,No party,1,1,25,1,2,1,4,3,4,2,5,1,1,5,3,0,Low,Number,Low
70,Female,Small city or town,Independent,2,1,,3,4,0,3,2,7,4,5,1,1,3,5,15,Low,Number,Low
71,Male,Suburb near a large city,Democrat,3,3,25,3,2,1,3,4,6,6,5,1,1,3,4,20,Low,Number,Low
72,Female,Suburb near a large city,Democrat,1,1,0,1,3,2,3,3,4,6,4,1,1,1,3,10,Low,Number,High
